gcf_id,Category
NRPS_gcf_1311,NRPS
NRPS_gcf_1312,NRPS
NRPS_gcf_1313,NRPS
NRPS_gcf_1314,NRPS
NRPS_gcf_1315,NRPS
NRPS_gcf_1316,NRPS
NRPS_gcf_1317,NRPS
NRPS_gcf_1318,NRPS
NRPS_gcf_1319,NRPS
NRPS_gcf_132,NRPS
NRPS_gcf_1320,NRPS
NRPS_gcf_1321,NRPS
NRPS_gcf_1322,NRPS
NRPS_gcf_1323,NRPS
NRPS_gcf_1324,NRPS
NRPS_gcf_1325,NRPS
NRPS_gcf_1326,NRPS
NRPS_gcf_1327,NRPS
NRPS_gcf_1328,NRPS
NRPS_gcf_1329,NRPS
NRPS_gcf_133,NRPS
NRPS_gcf_1330,NRPS
NRPS_gcf_1331,NRPS
NRPS_gcf_1332,NRPS
NRPS_gcf_1333,NRPS
NRPS_gcf_1334,NRPS
NRPS_gcf_1335,NRPS
NRPS_gcf_1336,NRPS
NRPS_gcf_1337,NRPS
NRPS_gcf_1338,NRPS
NRPS_gcf_1339,NRPS
NRPS_gcf_134,NRPS
NRPS_gcf_1340,NRPS
NRPS_gcf_1341,NRPS
NRPS_gcf_1342,NRPS
NRPS_gcf_1343,NRPS
NRPS_gcf_1344,NRPS
NRPS_gcf_1345,NRPS
NRPS_gcf_1346,NRPS
NRPS_gcf_1347,NRPS
NRPS_gcf_1348,NRPS
NRPS_gcf_1349,NRPS
NRPS_gcf_135,NRPS
NRPS_gcf_1350,NRPS
NRPS_gcf_1351,NRPS
NRPS_gcf_1352,NRPS
NRPS_gcf_1353,NRPS
NRPS_gcf_1354,NRPS
NRPS_gcf_1355,NRPS
NRPS_gcf_1356,NRPS
NRPS_gcf_1357,NRPS
NRPS_gcf_1358,NRPS
NRPS_gcf_1359,NRPS
NRPS_gcf_136,NRPS
NRPS_gcf_1360,NRPS
NRPS_gcf_1361,NRPS
NRPS_gcf_1362,NRPS
NRPS_gcf_1363,NRPS
NRPS_gcf_1364,NRPS
NRPS_gcf_1365,NRPS
NRPS_gcf_1366,NRPS
NRPS_gcf_1367,NRPS
NRPS_gcf_1368,NRPS
NRPS_gcf_1369,NRPS
NRPS_gcf_137,NRPS
NRPS_gcf_1370,NRPS
NRPS_gcf_1371,NRPS
NRPS_gcf_1372,NRPS
NRPS_gcf_1373,NRPS
NRPS_gcf_1374,NRPS
NRPS_gcf_1375,NRPS
NRPS_gcf_1376,NRPS
NRPS_gcf_1377,NRPS
NRPS_gcf_1378,NRPS
NRPS_gcf_1379,NRPS
NRPS_gcf_138,NRPS
NRPS_gcf_1380,NRPS
NRPS_gcf_1381,NRPS
NRPS_gcf_1382,NRPS
NRPS_gcf_1383,NRPS
NRPS_gcf_1384,NRPS
NRPS_gcf_1385,NRPS
NRPS_gcf_1386,NRPS
NRPS_gcf_1387,NRPS
NRPS_gcf_1388,NRPS
NRPS_gcf_1389,NRPS
NRPS_gcf_139,NRPS
NRPS_gcf_1390,NRPS
NRPS_gcf_1391,NRPS
NRPS_gcf_1392,NRPS
NRPS_gcf_1393,NRPS
NRPS_gcf_1394,NRPS
NRPS_gcf_1395,NRPS
NRPS_gcf_1396,NRPS
NRPS_gcf_1397,NRPS
NRPS_gcf_1398,NRPS
NRPS_gcf_1399,NRPS
NRPS_gcf_14,NRPS
NRPS_gcf_140,NRPS
NRPS_gcf_1400,NRPS
NRPS_gcf_1401,NRPS
NRPS_gcf_1402,NRPS
NRPS_gcf_1403,NRPS
NRPS_gcf_1404,NRPS
NRPS_gcf_1405,NRPS
NRPS_gcf_1406,NRPS
NRPS_gcf_1407,NRPS
NRPS_gcf_1408,NRPS
NRPS_gcf_1409,NRPS
NRPS_gcf_141,NRPS
NRPS_gcf_1410,NRPS
NRPS_gcf_1411,NRPS
NRPS_gcf_1412,NRPS
NRPS_gcf_1413,NRPS
NRPS_gcf_1414,NRPS
NRPS_gcf_1415,NRPS
NRPS_gcf_1416,NRPS
NRPS_gcf_1417,NRPS
NRPS_gcf_1418,NRPS
NRPS_gcf_1419,NRPS
NRPS_gcf_142,NRPS
NRPS_gcf_1420,NRPS
NRPS_gcf_1421,NRPS
NRPS_gcf_1422,NRPS
NRPS_gcf_1423,NRPS
NRPS_gcf_1424,NRPS
NRPS_gcf_1425,NRPS
NRPS_gcf_1426,NRPS
NRPS_gcf_1427,NRPS
NRPS_gcf_1428,NRPS
NRPS_gcf_1429,NRPS
NRPS_gcf_143,NRPS
NRPS_gcf_1430,NRPS
NRPS_gcf_1431,NRPS
NRPS_gcf_1432,NRPS
NRPS_gcf_1433,NRPS
NRPS_gcf_1434,NRPS
NRPS_gcf_1435,NRPS
NRPS_gcf_1436,NRPS
NRPS_gcf_1437,NRPS
NRPS_gcf_1438,NRPS
NRPS_gcf_1439,NRPS
NRPS_gcf_144,NRPS
