V1,V2,V3
-55.5456570155902,-15,305.154998779297
-55.4788418708241,-15,335.125
-55.4120267260579,-15,446.404998779297
-55.3452115812918,-15,447.545013427734
-55.2783964365256,-15,470.614990234375
-55.2115812917595,-15,592.614990234375
-55.1447661469933,-15,688.035583496094
-55.0779510022272,-15,737.585571289062
-55.011135857461,-15,765.965576171875
-54.9443207126949,-15,736.195556640625
-54.8775055679287,-15,685.9755859375
-54.8106904231626,-15,710.675537109375
-54.7438752783964,-15,774.685546875
-54.6770601336303,-15,788.805541992188
-54.6102449888641,-15,776.444213867188
-54.543429844098,-15,751.554260253906
-54.4766146993318,-15,671.854248046875
-54.4097995545657,-15,671.834228515625
-54.3429844097996,-15,695.254211425781
-54.2761692650334,-15,653.084228515625
-54.2093541202673,-15,669.284240722656
-54.1425389755011,-15,665.204223632812
-54.075723830735,-15,655.561767578125
-54.0089086859688,-15,642.201782226562
-53.9420935412027,-15,632.651794433594
-53.8752783964365,-15,619.061767578125
-53.8084632516704,-15,619.311767578125
-53.7416481069042,-15,575.981811523438
-53.6748329621381,-15,580.461791992188
-53.6080178173719,-15,590.111755371094
-53.5412026726058,-15,589.128356933594
-53.4743875278396,-15,578.398376464844
-53.4075723830735,-15,569.388366699219
-53.3407572383073,-15,553.748413085938
-53.2739420935412,-15,558.918395996094
-53.2071269487751,-15,529.278381347656
-53.1403118040089,-15,457.038391113281
-53.0734966592428,-15,428.558380126953
-53.0066815144766,-15,436.143768310547
-52.9398663697105,-15,450.603790283203
-52.8730512249443,-15,436.413787841797
-52.8062360801782,-15,439.593780517578
-52.739420935412,-15,361.373779296875
-52.6726057906459,-15,417.203765869141
-52.6057906458797,-15,559.223754882812
-52.5389755011136,-15,531.233764648438
-52.4721603563474,-15,582.621643066406
-52.4053452115813,-15,342.821655273438
-52.3385300668151,-15,316.70166015625
-52.271714922049,-15,296.851654052734
-52.2048997772828,-15,303.551666259766
-52.1380846325167,-15,285.141662597656
-52.0712694877506,-15,279.191650390625
-52.0044543429844,-15,272.331665039062
-51.9376391982183,-15,277.955230712891
-51.8708240534521,-15,268.845245361328
-51.804008908686,-15,271.215240478516
-51.7371937639198,-15,268.215240478516
-51.6703786191537,-15,268.625244140625
-51.6035634743875,-15,268.155242919922
-51.5367483296214,-15,267.475250244141
-51.4699331848552,-15,264.925231933594
-51.4031180400891,-15,259.942749023438
-51.3363028953229,-15,262.232727050781
-51.2694877505568,-15,260.712738037109
-51.2026726057906,-15,254.762741088867
-51.1358574610245,-15,256.192749023438
-51.0690423162583,-15,253.602737426758
-51.0022271714922,-15,258.702728271484
-50.9354120267261,-15,261.602722167969
