V1,V2,V3
-96.7556742323098,30,128.481460571289
-96.6889185580774,30,115.671455383301
-96.6221628838451,30,101.341453552246
-96.5554072096128,30,111.761459350586
-96.4886515353805,30,90.5814590454102
-96.4218958611482,30,82.8014602661133
-96.3551401869159,30,71.8814544677734
-96.2883845126836,30,74.5814590454102
-96.2216288384513,30,69.5792083740234
-96.154873164219,30,48.569206237793
-96.0881174899866,30,43.4692039489746
-96.0213618157543,30,52.9992065429688
-95.954606141522,30,67.0092086791992
-95.8878504672897,30,60.8292045593262
-95.8210947930574,30,54.7192039489746
-95.7543391188251,30,49.1892051696777
-95.6875834445928,30,44.8088111877441
-95.6208277703605,30,40.9188117980957
-95.5540720961282,30,37.2388114929199
-95.4873164218959,30,34.1588134765625
-95.4205607476636,30,29.4888114929199
-95.3538050734312,30,25.7288131713867
-95.2870493991989,30,23.3288116455078
-95.2202937249666,30,21.2588119506836
-95.1535380507343,30,15.7379446029663
-95.086782376502,30,17.0879440307617
-95.0200267022697,30,17.4979438781738
-94.9532710280374,30,17.0679454803467
-94.8865153538051,30,16.0279445648193
-94.8197596795728,30,10.5379447937012
-94.7530040053405,30,3.84794473648071
-94.6862483311081,30,11.75794506073
-94.6194926568758,30,13.2417783737183
-94.5527369826435,30,14.1917781829834
-94.4859813084112,30,13.1117782592773
-94.4192256341789,30,11.4617786407471
-94.3524699599466,30,7.59177875518799
-94.2857142857143,30,6.6117787361145
-94.218958611482,30,5.88177871704102
-94.1522029372497,30,3.41177868843079
-94.0854472630174,30,2.22629904747009
-94.018691588785,30,3.46629905700684
-93.9519359145527,30,2.75629901885986
-93.8851802403204,30,1.08629894256592
-93.8184245660881,30,-1.40370106697083
-93.7516688918558,30,-0.713701009750366
-93.6849132176235,30,0.326298981904984
-93.6181575433912,30,0.266298979520798
-93.5514018691589,30,0.421693235635757
-93.4846461949266,30,0.251693218946457
-93.4178905206943,30,0.351693242788315
-93.3511348464619,30,0.311693221330643
-93.2843791722296,30,-1.43830680847168
-93.2176234979973,30,0.351693242788315
-93.150867823765,30,0.131693229079247
-93.0841121495327,30,0.421693235635757
-93.0173564753004,30,0.465000003576279
-92.9506008010681,30,0.395000010728836
-92.8838451268358,30,0.245000004768372
-92.8170894526035,30,0.0549999997019768
-92.7503337783712,30,0.0649999976158142
-92.6835781041389,30,0.305000007152557
-92.6168224299065,30,0.354999989271164
-92.5500667556742,30,0.474999994039536
-92.4833110814419,30,0.482384145259857
-92.4165554072096,30,0.982384145259857
-92.3497997329773,30,1.61238408088684
-92.283044058745,30,2.25238418579102
-92.2162883845127,30,2.78238415718079
-92.1495327102804,30,2.89238405227661
-92.0827770360481,30,3.02238416671753
-92.0160213618158,30,2.22238421440125
-91.9492656875834,30,1.45938014984131
-91.8825100133511,30,1.98938012123108
-91.8157543391188,30,2.78938007354736
-91.7489986648865,30,4.08938026428223
-91.6822429906542,30,2.46938014030457
-91.6154873164219,30,0.679380178451538
-91.5487316421896,30,0.609380185604095
-91.4819759679573,30,1.42938017845154
-91.415220293725,30,0.477498024702072
-91.3484646194927,30,0.587498009204865
-91.2817089452603,30,0.577498018741608
-91.214953271028,30,0.417498022317886
-91.1481975967957,30,0.317498028278351
-91.0814419225634,30,0.987498044967651
-91.0146862483311,30,3.27749800682068
-90.9479305740988,30,0.737498044967651
-90.8811748998665,30,0.613623380661011
-90.8144192256342,30,0.103623352944851
-90.7476635514019,30,1.33362340927124
-90.6809078771696,30,1.04362332820892
-90.6141522029372,30,0.303623348474503
-90.547396528705,30,0.173623353242874
-90.4806408544726,30,0.543623328208923
-90.4138851802403,30,-0.376376658678055
-90.347129506008,30,-1.51149296760559
-90.2803738317757,30,-1.21149301528931
-90.2136181575434,30,-1.07149302959442
-90.1468624833111,30,-1.51149296760559
-90.0801068090788,30,-0.261492997407913
-90.0133511348465,30,-2.62149310112
-89.9465954606142,30,-0.0214929953217506
-89.8798397863818,30,0.178507000207901
-89.8130841121495,30,-1.56960844993591
-89.7463284379172,30,-2.33960843086243
-89.6795727636849,30,-2.71960830688477
-89.6128170894526,30,-3.06960844993591
-89.5460614152203,30,-0.719608426094055
-89.479305740988,30,0.250391602516174
-89.4125500667557,30,-0.159608408808708
-89.3457943925234,30,-0.709608376026154
-89.279038718291,30,-0.704509019851685
-89.2122830440588,30,-0.804509043693542
-89.1455273698264,30,-1.38450908660889
-89.0787716955941,30,-2.11450910568237
-89.0120160213618,30,-4.13450908660889
-88.9452603471295,30,-5.6545090675354
-88.8785046728972,30,-5.84450912475586
-88.8117489986649,30,-2.86450910568237
-88.7449933244326,30,-12.3584461212158
-88.6782376502003,30,-17.7484455108643
-88.611481975968,30,-21.3084449768066
-88.5447263017357,30,-25.0184459686279
-88.4779706275033,30,-27.9184455871582
-88.411214953271,30,-29.9684448242188
-88.3444592790387,30,-30.8884449005127
-88.2777036048064,30,-30.7884464263916
-88.2109479305741,30,-30.994384765625
-88.1441922563418,30,-30.01438331604
-88.0774365821095,30,-28.6343841552734
-88.0106809078772,30,-29.5343837738037
-87.9439252336449,30,-29.494384765625
-87.8771695594126,30,-27.9143848419189
-87.8104138851803,30,-28.6443843841553
-87.7436582109479,30,-31.3043842315674
-87.6769025367156,30,-30.6975021362305
-87.6101468624833,30,-29.9575004577637
-87.543391188251,30,-30.8375015258789
-87.4766355140187,30,-31.9675006866455
-87.4098798397864,30,-33.1875
-87.3431241655541,30,-29.7575016021729
-87.2763684913218,30,-30.5575008392334
-87.2096128170895,30,-35.9775009155273
-87.1428571428571,30,-47.4906883239746
-87.0761014686248,30,-57.6906890869141
-87.0093457943925,30,-91.9706878662109
-86.9425901201602,30,-138.88069152832
-86.8758344459279,30,-141.260681152344
-86.8090787716956,30,-132.310684204102
-86.7423230974633,30,-121.320686340332
-86.675567423231,30,-111.040687561035
-86.6088117489987,30,-96.2005920410156
-86.5420560747664,30,-82.3205871582031
-86.4753004005341,30,-72.2105865478516
-86.4085447263017,30,-62.2905883789062
-86.3417890520694,30,-59.4905891418457
-86.2750333778371,30,-54.6605911254883
-86.2082777036048,30,-49.0005912780762
-86.1415220293725,30,-40.9205894470215
-86.0747663551402,30,-37.3400115966797
-86.0080106809079,30,-33.4400100708008
-85.9412550066756,30,-33.760009765625
